ID,Date,Type,Category,Description,Amount
455,2026-07-27,Expense,Food & Dining,Food & Dining,120.0
466,2026-07-25,Income,Business Income,Business Income,120.0
456,2026-07-25,Expense,Savings,Savings,300.0
462,2026-07-23,Expense,Emergency,Emergency,48.0
468,2026-07-21,Expense,Emergency,Emergency,35.0
464,2026-07-20,Expense,Fuel,Fuel,250.0
460,2026-07-20,Expense,Travel,Travel,25.0
467,2026-07-17,Expense,Mobile Bill,Mobile Bill,129.0
463,2026-07-17,Expense,Shopping,Shopping,450.0
459,2026-07-16,Expense,Utilities,Utilities,90.0
461,2026-07-12,Expense,Education,Education,180.0
458,2026-07-12,Expense,Gifts & Donations,Gifts & Donations,180.0
457,2026-07-06,Expense,Personal Care,Personal Care,150.0
465,2026-07-05,Expense,Clothing,Clothing,18.0
3,2026-07-02,Income,Salary,monthly sallary,3500.0
2,2026-07-02,Income,Salary,"monthly sallary
",3500.0
1,2026-07-02,Income,Salary,,0.0
454,2026-07-01,Income,Salary,Monthly Salary,3500.0
442,2026-06-26,Expense,Clothing,Clothing,25.0
450,2026-06-24,Expense,Personal Care,Personal Care,300.0
446,2026-06-24,Income,Other Income,Other Income,120.0
440,2026-06-23,Expense,Clothing,Clothing,220.0
447,2026-06-19,Expense,Internet,Internet,42.0
449,2026-06-17,Expense,Rent,Rent,450.0
448,2026-06-16,Expense,Emergency,Emergency,48.0
444,2026-06-16,Expense,Personal Care,Personal Care,42.0
451,2026-06-09,Expense,Shopping,Shopping,180.0
452,2026-06-08,Expense,Fitness,Fitness,48.0
443,2026-06-08,Expense,Shopping,Shopping,120.0
453,2026-06-04,Expense,Travel,Travel,129.0
441,2026-06-03,Income,Rental Income,Rental Income,650.0
445,2026-06-02,Expense,Loan Payment,Loan Payment,90.0
439,2026-06-01,Income,Salary,Monthly Salary,3500.0
436,2026-05-28,Expense,Groceries,Groceries,250.0
438,2026-05-26,Expense,Fitness,Fitness,18.0
430,2026-05-26,Expense,Personal Care,Personal Care,450.0
429,2026-05-26,Expense,Mobile Bill,Mobile Bill,25.0
434,2026-05-23,Income,Business Income,Business Income,300.0
428,2026-05-23,Expense,Savings,Savings,18.0
431,2026-05-22,Expense,Mobile Bill,Mobile Bill,58.0
427,2026-05-21,Expense,Transportation,Transportation,90.0
432,2026-05-20,Expense,Personal Care,Personal Care,35.0
433,2026-05-17,Expense,Insurance,Insurance,129.0
435,2026-05-15,Expense,Rent,Rent,180.0
425,2026-05-10,Expense,Personal Care,Personal Care,250.0
437,2026-05-04,Expense,Insurance,Insurance,42.0
426,2026-05-04,Expense,Travel,Travel,129.0
424,2026-05-01,Income,Salary,Monthly Salary,3500.0
418,2026-04-27,Expense,Miscellaneous,Miscellaneous,75.0
422,2026-04-25,Expense,Rent,Rent,250.0
417,2026-04-23,Income,Interest,Interest,1000.0
412,2026-04-22,Income,Freelance,Freelance,150.0
411,2026-04-21,Expense,Fuel,Fuel,75.0
410,2026-04-20,Expense,Rent,Rent,25.0
419,2026-04-15,Income,Investment,Investment,850.0
416,2026-04-11,Expense,Clothing,Clothing,35.0
415,2026-04-11,Income,Interest,Interest,850.0
413,2026-04-09,Income,Freelance,Freelance,150.0
420,2026-04-06,Expense,Shopping,Shopping,35.0
423,2026-04-05,Expense,Rent,Rent,180.0
421,2026-04-03,Income,Interest,Interest,650.0
414,2026-04-02,Expense,Loan Payment,Loan Payment,300.0
409,2026-04-01,Income,Salary,Monthly Salary,3500.0
403,2026-03-28,Income,Refund,Refund,120.0
399,2026-03-24,Expense,Emergency,Emergency,300.0
407,2026-03-21,Expense,Internet,Internet,450.0
395,2026-03-21,Expense,Fuel,Fuel,75.0
404,2026-03-20,Expense,Groceries,Groceries,48.0
401,2026-03-17,Expense,Insurance,Insurance,58.0
408,2026-03-14,Expense,Clothing,Clothing,120.0
396,2026-03-11,Income,Business Income,Business Income,300.0
406,2026-03-09,Income,Gift,Gift,650.0
405,2026-03-06,Expense,Rent,Rent,35.0
400,2026-03-05,Expense,Savings,Savings,120.0
402,2026-03-03,Expense,Personal Care,Personal Care,42.0
398,2026-03-03,Expense,Gifts & Donations,Gifts & Donations,120.0
397,2026-03-02,Expense,Shopping,Shopping,99.0
394,2026-03-01,Income,Salary,Monthly Salary,3500.0
386,2026-02-27,Income,Interest,Interest,150.0
391,2026-02-25,Income,Freelance,Freelance,850.0
389,2026-02-25,Expense,Healthcare,Healthcare,250.0
384,2026-02-25,Expense,Gifts & Donations,Gifts & Donations,90.0
385,2026-02-24,Expense,Personal Care,Personal Care,250.0
392,2026-02-19,Expense,Entertainment,Entertainment,75.0
383,2026-02-18,Expense,Transportation,Transportation,90.0
388,2026-02-17,Expense,Healthcare,Healthcare,220.0
380,2026-02-17,Expense,Entertainment,Entertainment,300.0
387,2026-02-14,Expense,Rent,Rent,150.0
390,2026-02-10,Expense,Internet,Internet,42.0
382,2026-02-10,Expense,Mobile Bill,Mobile Bill,18.0
393,2026-02-08,Expense,Mobile Bill,Mobile Bill,450.0
381,2026-02-08,Expense,Mobile Bill,Mobile Bill,129.0
379,2026-02-01,Income,Salary,Monthly Salary,3500.0
371,2026-01-28,Expense,Travel,Travel,150.0
368,2026-01-27,Expense,Groceries,Groceries,150.0
367,2026-01-24,Expense,Miscellaneous,Miscellaneous,42.0
366,2026-01-24,Income,Investment,Investment,120.0
372,2026-01-22,Expense,Clothing,Clothing,48.0
378,2026-01-21,Expense,Insurance,Insurance,18.0
365,2026-01-20,Expense,Education,Education,180.0
369,2026-01-19,Expense,Healthcare,Healthcare,35.0
370,2026-01-18,Expense,Food & Dining,Food & Dining,220.0
377,2026-01-16,Income,Refund,Refund,650.0
375,2026-01-16,Expense,Savings,Savings,99.0
373,2026-01-15,Income,Other Income,Other Income,850.0
376,2026-01-12,Expense,Transportation,Transportation,99.0
374,2026-01-10,Expense,Gifts & Donations,Gifts & Donations,300.0
364,2026-01-01,Income,Salary,Monthly Salary,3500.0
355,2025-12-28,Income,Bonus,Bonus,850.0
361,2025-12-24,Expense,Healthcare,Healthcare,58.0
360,2025-12-23,Income,Investment,Investment,450.0
357,2025-12-22,Income,Bonus,Bonus,1000.0
362,2025-12-21,Expense,Fuel,Fuel,58.0
359,2025-12-21,Income,Business Income,Business Income,450.0
350,2025-12-21,Expense,Education,Education,18.0
356,2025-12-19,Income,Rental Income,Rental Income,150.0
363,2025-12-11,Income,Bonus,Bonus,300.0
354,2025-12-10,Expense,Travel,Travel,99.0
353,2025-12-08,Expense,Insurance,Insurance,180.0
352,2025-12-07,Income,Gift,Gift,300.0
351,2025-12-04,Expense,Shopping,Shopping,250.0
358,2025-12-02,Expense,Utilities,Utilities,18.0
349,2025-12-01,Income,Salary,Monthly Salary,3500.0
345,2025-11-26,Expense,Travel,Travel,90.0
343,2025-11-26,Expense,Food & Dining,Food & Dining,180.0
336,2025-11-26,Expense,Personal Care,Personal Care,90.0
348,2025-11-25,Income,Refund,Refund,150.0
346,2025-11-17,Income,Gift,Gift,450.0
344,2025-11-17,Income,Rental Income,Rental Income,300.0
341,2025-11-15,Expense,Clothing,Clothing,220.0
338,2025-11-10,Expense,Gifts & Donations,Gifts & Donations,35.0
337,2025-11-10,Expense,Rent,Rent,90.0
335,2025-11-10,Expense,Emergency,Emergency,99.0
340,2025-11-06,Expense,Transportation,Transportation,220.0
339,2025-11-06,Income,Gift,Gift,850.0
342,2025-11-03,Income,Gift,Gift,450.0
347,2025-11-02,Expense,Miscellaneous,Miscellaneous,180.0
334,2025-11-01,Income,Salary,Monthly Salary,3500.0
327,2025-10-26,Expense,Travel,Travel,90.0
324,2025-10-26,Income,Gift,Gift,850.0
325,2025-10-20,Income,Gift,Gift,450.0
331,2025-10-19,Expense,Clothing,Clothing,450.0
332,2025-10-15,Expense,Gifts & Donations,Gifts & Donations,250.0
326,2025-10-14,Income,Bonus,Bonus,1000.0
320,2025-10-11,Expense,Emergency,Emergency,129.0
322,2025-10-09,Expense,Shopping,Shopping,18.0
333,2025-10-07,Expense,Personal Care,Personal Care,250.0
328,2025-10-07,Expense,Fitness,Fitness,250.0
330,2025-10-06,Expense,Miscellaneous,Miscellaneous,450.0
321,2025-10-04,Expense,Internet,Internet,120.0
329,2025-10-03,Expense,Fuel,Fuel,250.0
323,2025-10-03,Income,Refund,Refund,650.0
319,2025-10-01,Income,Salary,Monthly Salary,3500.0
309,2025-09-27,Expense,Miscellaneous,Miscellaneous,75.0
315,2025-09-21,Expense,Education,Education,18.0
311,2025-09-21,Expense,Fuel,Fuel,120.0
318,2025-09-18,Expense,Entertainment,Entertainment,35.0
312,2025-09-18,Expense,Travel,Travel,129.0
317,2025-09-16,Expense,Miscellaneous,Miscellaneous,75.0
306,2025-09-15,Expense,Fitness,Fitness,42.0
313,2025-09-14,Expense,Gifts & Donations,Gifts & Donations,48.0
307,2025-09-14,Expense,Utilities,Utilities,99.0
310,2025-09-13,Expense,Miscellaneous,Miscellaneous,129.0
316,2025-09-11,Expense,Travel,Travel,129.0
314,2025-09-08,Expense,Education,Education,58.0
305,2025-09-05,Expense,Healthcare,Healthcare,129.0
308,2025-09-03,Expense,Food & Dining,Food & Dining,450.0
304,2025-09-01,Income,Salary,Monthly Salary,3500.0
298,2025-08-28,Expense,Internet,Internet,90.0
297,2025-08-28,Expense,Healthcare,Healthcare,120.0
301,2025-08-22,Expense,Miscellaneous,Miscellaneous,129.0
303,2025-08-20,Expense,Mobile Bill,Mobile Bill,25.0
294,2025-08-15,Expense,Internet,Internet,99.0
291,2025-08-13,Expense,Travel,Travel,48.0
300,2025-08-10,Expense,Mobile Bill,Mobile Bill,150.0
292,2025-08-09,Expense,Entertainment,Entertainment,220.0
290,2025-08-08,Expense,Miscellaneous,Miscellaneous,42.0
295,2025-08-07,Expense,Fuel,Fuel,180.0
296,2025-08-03,Expense,Internet,Internet,75.0
302,2025-08-02,Income,Interest,Interest,150.0
299,2025-08-02,Expense,Education,Education,129.0
293,2025-08-02,Income,Rental Income,Rental Income,1000.0
289,2025-08-01,Income,Salary,Monthly Salary,3500.0
288,2025-07-27,Expense,Groceries,Groceries,150.0
277,2025-07-23,Income,Business Income,Business Income,300.0
282,2025-07-22,Expense,Mobile Bill,Mobile Bill,25.0
275,2025-07-21,Expense,Emergency,Emergency,450.0
285,2025-07-19,Income,Freelance,Freelance,850.0
281,2025-07-17,Expense,Groceries,Groceries,35.0
287,2025-07-15,Income,Interest,Interest,300.0
279,2025-07-10,Expense,Utilities,Utilities,129.0
280,2025-07-08,Expense,Mobile Bill,Mobile Bill,450.0
284,2025-07-07,Expense,Gifts & Donations,Gifts & Donations,220.0
286,2025-07-06,Expense,Healthcare,Healthcare,48.0
278,2025-07-05,Expense,Gifts & Donations,Gifts & Donations,48.0
283,2025-07-02,Expense,Shopping,Shopping,99.0
276,2025-07-02,Expense,Gifts & Donations,Gifts & Donations,120.0
274,2025-07-01,Income,Salary,Monthly Salary,3500.0
265,2025-06-20,Expense,Loan Payment,Loan Payment,35.0
260,2025-06-20,Expense,Groceries,Groceries,129.0
262,2025-06-18,Income,Other Income,Other Income,120.0
270,2025-06-16,Expense,Savings,Savings,42.0
269,2025-06-16,Expense,Transportation,Transportation,18.0
266,2025-06-15,Expense,Savings,Savings,450.0
273,2025-06-13,Expense,Clothing,Clothing,120.0
267,2025-06-12,Expense,Utilities,Utilities,129.0
268,2025-06-09,Expense,Shopping,Shopping,120.0
264,2025-06-09,Expense,Savings,Savings,90.0
263,2025-06-07,Income,Freelance,Freelance,850.0
272,2025-06-06,Expense,Transportation,Transportation,90.0
271,2025-06-04,Expense,Fitness,Fitness,99.0
261,2025-06-03,Income,Refund,Refund,650.0
259,2025-06-01,Income,Salary,Monthly Salary,3500.0
251,2025-05-27,Expense,Gifts & Donations,Gifts & Donations,42.0
257,2025-05-15,Expense,Gifts & Donations,Gifts & Donations,300.0
254,2025-05-15,Expense,Utilities,Utilities,180.0
246,2025-05-15,Expense,Groceries,Groceries,42.0
256,2025-05-10,Expense,Clothing,Clothing,120.0
250,2025-05-09,Expense,Transportation,Transportation,250.0
248,2025-05-09,Income,Other Income,Other Income,450.0
258,2025-05-06,Income,Investment,Investment,120.0
249,2025-05-06,Expense,Mobile Bill,Mobile Bill,250.0
245,2025-05-05,Income,Gift,Gift,300.0
253,2025-05-04,Expense,Internet,Internet,58.0
255,2025-05-03,Income,Bonus,Bonus,450.0
252,2025-05-03,Expense,Gifts & Donations,Gifts & Donations,18.0
247,2025-05-03,Expense,Insurance,Insurance,42.0
244,2025-05-01,Income,Salary,Monthly Salary,3500.0
243,2025-04-27,Expense,Travel,Travel,75.0
231,2025-04-25,Expense,Transportation,Transportation,48.0
238,2025-04-20,Expense,Savings,Savings,90.0
242,2025-04-19,Income,Refund,Refund,150.0
241,2025-04-18,Income,Refund,Refund,150.0
236,2025-04-16,Expense,Clothing,Clothing,42.0
235,2025-04-14,Expense,Emergency,Emergency,150.0
233,2025-04-10,Expense,Loan Payment,Loan Payment,220.0
237,2025-04-09,Income,Rental Income,Rental Income,120.0
234,2025-04-08,Expense,Utilities,Utilities,120.0
232,2025-04-06,Expense,Gifts & Donations,Gifts & Donations,58.0
240,2025-04-04,Expense,Insurance,Insurance,35.0
230,2025-04-03,Income,Freelance,Freelance,120.0
